datetime,open,high,low,close,volume,upper_band,middle_band,lower_band,ema,macd,macd_signal,macd_hist,rsi,sma,slow_k,slow_d
2024-07-09,228.18500,229.39500,226.37210,228.12000,14785309,230.15278,214.21150,198.27022,221.14824,8.11666,7.19665,0.92000,75.80368,219.86889,94.40908,97.90470
2024-07-08,227.09000,227.85001,223.25000,227.82001,58979000,228.94997,212.65000,196.35003,219.40530,7.83639,6.96665,0.86974,75.60604,217.75222,99.85890,99.76834
2024-07-05,221.64999,226.45000,221.64999,226.34000,60412400,227.55338,210.98300,194.41262,217.30162,7.39523,6.74922,0.64601,74.65774,215.56556,99.44612,99.54948
2024-07-03,220.00000,221.55000,219.03000,221.55000,37369800,225.70162,209.45950,193.21738,215.04203,6.87528,6.58772,0.28756,71.30539,213.47111,100.00000,95.40592
2024-07-02,216.14999,220.38000,215.10001,220.27000,58046200,224.61710,208.09950,191.58190,213.41504,6.59933,6.51583,0.08351,70.33154,212.15222,99.20232,84.02148
2024-07-01,212.09000,217.50999,211.92000,216.75000,60402900,223.39809,206.78750,190.17691,211.70130,6.28146,6.49495,-0.21349,67.51639,211.48778,87.01544,77.03843
2024-06-28,215.77000,216.07001,210.30000,210.62000,82542700,222.66007,205.56250,188.46493,210.43912,6.14278,6.54832,-0.40554,61.62866,211.47889,65.84670,73.10756
2024-06-27,214.69000,215.74001,212.35001,214.10001,49772700,222.60199,204.59600,186.59001,210.39390,6.50056,6.64971,-0.14915,68.13917,211.68667,78.25315,71.26563
2024-06-26,211.50000,214.86000,210.64000,213.25000,66213200,221.88288,203.40550,184.92812,209.46738,6.50834,6.68699,-0.17865,67.35704,211.70222,75.22283,64.18303
2024-06-25,209.14999,211.38000,208.61000,209.07001,56713900,221.02056,202.24250,183.46444,208.52172,6.51015,6.73166,-0.22150,63.23594,211.68222,60.32090,57.33812
2024-06-24,207.72000,212.70000,206.59000,208.14000,80727000,220.51616,201.28800,182.05984,208.38465,6.84337,6.78703,0.05634,62.25136,211.46889,57.00536,58.98750
2024-06-21,210.39000,211.89000,207.11000,207.49001,246421400,220.15814,200.22500,180.29186,208.44581,7.26383,6.77295,0.49088,61.58365,209.80000,54.68809,66.81524
2024-06-20,213.92999,214.24001,208.85001,209.67999,86172500,219.43079,199.39550,179.36020,208.68476,7.76101,6.65023,1.11078,65.19125,208.62222,65.26904,78.08517
2024-06-18,217.59000,218.63000,213.00000,214.28999,79943300,218.20598,198.52900,178.85202,208.43595,8.05973,6.37253,1.68719,73.62132,206.93333,80.48859,81.39850
2024-06-17,213.37000,218.95000,212.72000,216.67000,93728300,215.89521,197.36650,178.83779,206.97244,7.85438,5.95074,1.90365,78.48685,204.88667,88.49789,81.72487
2024-06-14,213.85001,215.17000,211.30000,212.49001,70122700,212.54452,196.02650,179.50848,204.54806,7.23572,5.47482,1.76090,75.88806,202.40667,75.20902,78.47918
2024-06-13,214.74001,216.75000,211.60001,214.24001,97862700,209.76545,194.89400,180.02255,202.56257,6.76643,5.03460,1.73183,79.62752,200.35556,81.46769,86.72659
2024-06-12,207.37000,220.20000,206.89999,213.07001,198134300,205.73648,193.66800,181.59952,199.64321,5.89084,4.60164,1.28920,78.98463,197.91222,78.76082,79.84558
2024-06-11,193.64999,207.16000,193.63000,207.14999,172373300,200.84585,192.38600,183.92615,196.28651,4.80672,4.27934,0.52738,75.32634,195.49222,99.95124,86.76364
2024-06-10,196.89999,197.30000,192.14999,193.12000,97262100,196.91699,191.34250,185.76800,193.57064,3.95583,4.14750,-0.19167,60.00500,193.61889,60.82466,78.92529
2024-06-07,194.64999,196.94000,194.14000,196.89000,53103900,196.92511,191.00050,185.07589,193.68330,4.24076,4.19541,0.04534,71.00677,193.27111,99.51500,88.64067
2024-06-06,195.69000,196.50000,194.17000,194.48000,41181800,196.54472,190.30850,184.07228,192.88162,4.15889,4.18408,-0.02519,67.46595,192.50333,76.43621,85.08158
2024-06-05,195.39999,196.89999,194.87000,195.87000,54156800,196.21722,189.81300,183.40877,192.48203,4.23929,4.19038,0.04891,72.18747,191.65889,89.97079,89.25799
2024-06-04,194.64000,195.32001,193.03000,194.35001,47471400,195.63401,189.15650,182.67899,191.63504,4.13871,4.17815,-0.03944,70.05986,191.10667,88.83773,89.61777
2024-06-03,192.89999,194.99001,192.52000,194.03000,50080500,195.16766,188.57600,181.98434,190.95630,4.10490,4.18801,-0.08310,69.60530,190.88444,88.96546,86.53659
2024-05-31,191.44000,192.57001,189.91000,192.25000,75158300,194.69879,187.96000,181.22121,190.18787,4.03463,4.20878,-0.17415,67.01906,190.55222,91.05012,81.90442
2024-05-30,190.75999,192.17999,190.63000,191.28999,49947900,194.23506,187.51650,180.79794,189.67234,4.06748,4.25232,-0.18484,65.55110,190.28778,79.59420,75.67438
2024-05-29,189.61000,192.25000,189.50999,190.28999,53068000,195.59953,186.60350,177.60747,189.26792,4.14800,4.29853,-0.15053,64.00128,190.12666,75.06892,74.15028
2024-05-28,191.50999,193.00000,189.10001,189.99001,52280100,197.11631,185.55400,173.99169,189.01241,4.29225,4.33616,-0.04391,63.54441,190.06333,72.36001,65.04640
2024-05-24,188.82001,190.58000,188.03999,189.98000,36294600,197.69503,184.57100,171.44697,188.76801,4.44448,4.34714,0.09734,63.53007,189.77889,75.02191,69.09841
2024-05-23,190.98000,191.00000,186.63000,186.88000,51005900,197.46510,183.74700,170.02890,188.46501,4.57515,4.32280,0.25235,58.87814,189.36778,47.75728,76.39549
2024-05-22,192.27000,192.82001,190.27000,190.89999,34648500,197.86386,182.86800,167.87214,188.86126,4.99103,4.25971,0.73131,69.56263,189.30111,84.51603,92.41489
2024-05-21,191.09000,192.73000,190.92000,192.35001,42309400,197.34955,181.81750,166.28545,188.35158,5.03993,4.07688,0.96304,74.06427,188.42889,96.91316,95.71171
2024-05-20,189.33000,191.92000,189.00999,191.03999,44361300,196.34719,180.65100,164.95482,187.35197,4.88140,3.83612,1.04527,72.57541,187.56444,95.81548,94.83069
2024-05-17,189.50999,190.81000,189.17999,189.87000,41282900,195.46819,179.44400,163.41981,186.42997,4.74144,3.57480,1.16663,71.20451,186.64222,94.40650,94.78635
2024-05-16,190.47000,191.10001,189.66000,189.84000,52845200,194.56040,178.24250,161.92460,185.56996,4.61295,3.28315,1.32981,71.17020,185.85000,94.27008,95.13963
2024-05-15,187.91000,190.64999,187.37000,189.72000,70400000,193.37963,177.00050,160.62137,184.50245,4.38492,2.95069,1.43423,71.04204,184.94667,95.68248,95.60720
2024-05-14,187.50999,188.30000,186.28999,187.42999,52393600,191.69740,175.86650,160.03561,183.19806,4.04231,2.59214,1.45017,68.56570,184.24222,95.46634,95.73792
2024-05-13,185.44000,187.10001,184.62000,186.28000,72044800,190.14215,174.89500,159.64785,182.14008,3.77937,2.22960,1.54978,67.26016,182.64223,95.67279,91.28598
2024-05-12,185.44000,187.10001,184.64000,186.28000,70340080,188.53374,174.05000,159.56626,181.10510,3.50589,1.84215,1.66374,67.26016,180.75556,96.07464,89.08467
2024-05-10,184.89999,185.09000,182.13000,183.05000,50759500,186.72667,173.37050,160.01433,179.81138,3.10584,1.42621,1.67962,63.59881,178.98334,82.11052,84.19767
2024-05-09,182.56000,184.66000,182.11000,184.57001,48983000,185.74385,173.04550,160.34715,179.00172,2.87892,1.00631,1.87261,66.86642,177.92223,89.06886,83.96538
2024-05-08,182.85001,183.07001,181.45000,182.74001,45057100,184.16955,172.56900,160.96846,177.60965,2.39264,0.53816,1.85449,64.84730,176.22556,81.41364,79.91567
